net.c,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,0.28276390200197,0.28276390200197,0.28276390200197,0.28276390210886,0.282763902155649,0.282763902073867,0.213901285906191,-0.210390825201521,0.419526016028233
0.28276390200197,1,1,1,1,1,1,0.958404968111651,0.27252461810196,0.00549157019419828
0.28276390200197,1,1,1,1,1,1,0.958404968111651,0.27252461810196,0.00549157019419828
0.28276390200197,1,1,1,1,1,1,0.958404968111651,0.27252461810196,0.00549157019419828
0.28276390210886,1,1,1,1,1,1,0.958404968105945,0.272524618088555,0.00549157016018137
0.282763902155649,1,1,1,1,1,1,0.95840496811373,0.272524618026822,0.00549157031300652
0.282763902073867,1,1,1,1,1,1,0.958404968148969,0.272524617972946,0.00549157014773566
0.213901285906191,0.958404968111651,0.958404968111651,0.958404968111651,0.958404968105945,0.95840496811373,0.958404968148969,1,0.175960854874117,-0.032248073669694
-0.210390825201521,0.27252461810196,0.27252461810196,0.27252461810196,0.272524618088555,0.272524618026822,0.272524617972946,0.175960854874117,1,0.065599645409209
0.419526016028233,0.00549157019419828,0.00549157019419828,0.00549157019419828,0.00549157016018137,0.00549157031300652,0.00549157014773566,-0.032248073669694,0.065599645409209,1
