net.c,V2,V3,V4,V5,V6,V7,V8,V9,V10
0.223290889359826,-0.85178016027013,-0.85178016027013,-0.85178016027013,-0.851780160057115,-0.851780160289077,-0.851780160227677,-0.961361546870037,-0.738303629067695,-0.393844363869617
2.14905067485483,1.11090889790508,1.11090889790508,1.11090889790508,1.11090889772052,1.11090889818185,1.11090889775313,1.04341359180563,0.0972670583398279,3.20105345766933
0.0752814463576017,-0.973785155262354,-0.973785155262354,-0.973785155262354,-0.973785155535111,-0.973785154983447,-0.973785155522661,-1.08598270357572,-0.252537652148127,-0.393844363869617
-0.00389926858945095,-0.771327590183869,-0.771327590183869,-0.771327590183869,-0.771327590413672,-0.771327590400413,-0.771327590201683,-0.879183827496847,0.290397459939988,1.67211549978723
2.00739167967266,1.17102730130856,1.17102730130856,1.17102730130856,1.1710273017888,1.17102730143847,1.17102730189662,1.10482111822425,1.29182042226083,-0.393844363869617
-0.677930857495605,-0.832330088190428,-0.832330088190428,-0.832330088190428,-0.83233008815267,-0.83233008825739,-0.832330087849175,0.218927239716691,-1.21955483653074,-0.393844363869617
0.114363295697789,-1.03596644573272,-1.03596644573272,-1.03596644573272,-1.03596644551074,-1.03596644496118,-1.03596644586798,-1.14949735168507,0.133923586103171,1.82218522832694
-0.956445828887863,-0.348200120595687,-0.348200120595687,-0.348200120595687,-0.348200120824279,-0.34820012041966,-0.348200120125564,0.218927239716691,-0.796721547673681,-0.393844363869617
-1.023446800028,-0.0318712263813773,-0.0318712263813773,-0.0318712263813773,-0.0318712262522035,-0.0318712267754907,-0.0318712268819747,-0.123871247541291,1.45607834965409,-0.393844363869617
-0.0895653134579708,0.03790590560941,0.03790590560941,0.03790590560941,0.0379059056534638,0.0379059053764524,0.0379059056734434,-0.052597879903494,-0.570360111511033,-0.393844363869617
-0.749904542552518,1.01940515140569,1.01940515140569,1.01940515140569,1.01940515161878,1.01940515139639,1.01940515179157,0.949947724020933,1.82829436156168,-0.393844363869617
-0.886399007039612,1.34342566519575,1.34342566519575,1.34342566519575,1.3434256648761,1.34342566490299,1.34342566463617,1.28091623160469,0.991479516115063,-0.393844363869617
2.09416169386675,1.04194955255438,1.04194955255438,1.04194955255438,1.04194955289101,1.04194955299996,1.04194955245343,0.972975546044759,-1.4673747386863,-0.393844363869617
-0.209296118333824,1.67407688442533,1.67407688442533,1.67407688442533,1.6740768842111,1.67407688434375,1.67407688487697,1.61865762843971,-1.11547840824648,-0.393844363869617
-0.523954024128031,-1.25404300763875,-1.25404300763875,-1.25404300763875,-1.25404300726081,-1.25404300769323,-1.25404300729953,-1.37225014475773,-0.754412409199995,-0.393844363869617
-0.925751656607853,-0.846475594693442,-0.846475594693442,-0.846475594693442,-0.846475594992266,-0.846475594726079,-0.846475595126211,-0.955943235264682,0.69628086035814,-0.393844363869617
-0.191655261546925,-0.986162473580103,-0.986162473580103,-0.986162473580103,-0.986162474019758,-0.986162474290582,-0.986162473752959,-1.09862542963314,0.574679939798307,-0.393844363869617
0.141593015166585,-0.17129287749965,-0.17129287749965,-0.17129287749965,-0.171292876874424,-0.171292876838343,-0.171292877457524,-0.266282526789265,-0.0401643436219262,-0.393844363869617
0.319514990731222,-0.638890283571421,-0.638890283571421,-0.638890283571421,-0.638890283742826,-0.638890283907951,-0.638890283404564,-0.743906657660772,-1.39679339356019,-0.393844363869617
-0.886399007039612,1.34342566519575,1.34342566519575,1.34342566519575,1.3434256648761,1.34342566490299,1.34342566463617,1.28091623160469,0.991479516115063,-0.393844363869617
